Número de inserções: 2000
1057: Erro na insercao [11]
1058: Erro na insercao [69]
1059: Erro na insercao [24]
1060: Erro na insercao [23]
1061: Erro na insercao [30]
1062: Erro na insercao [15]
1063: Erro na insercao [21]
1064: Erro na insercao [68]
1065: Erro na insercao [30]
1066: Erro na insercao [15]
1067: Erro na insercao [18]
1068: Erro na insercao [90]
1069: Erro na insercao [18]
1070: Erro na insercao [55]
1071: Erro na insercao [22]
1072: Erro na insercao [49]
1073: Erro na insercao [31]
1074: Erro na insercao [20]
1075: Erro na insercao [17]
1076: Erro na insercao [32]
1077: Erro na insercao [68]
1078: Erro na insercao [21]
1079: Erro na insercao [32]
1080: Erro na insercao [12]
1081: Erro na insercao [20]
1082: Erro na insercao [87]
1083: Erro na insercao [28]
1084: Erro na insercao [20]
1085: Erro na insercao [14]
1086: Erro na insercao [12]
1087: Erro na insercao [11]
1088: Erro na insercao [73]
1089: Erro na insercao [84]
1090: Erro na insercao [10]
1091: Erro na insercao [15]
1092: Erro na insercao [18]
1093: Erro na insercao [24]
1094: Erro na insercao [15]
1095: Erro na insercao [26]
1096: Erro na insercao [15]
1097: Erro na insercao [13]
1098: Erro na insercao [26]
1099: Erro na insercao [52]
1100: Erro na insercao [24]
1101: Erro na insercao [32]
1102: Erro na insercao [87]
1103: Erro na insercao [21]
1104: Erro na insercao [90]
1105: Erro na insercao [29]
1106: Erro na insercao [29]
1107: Erro na insercao [13]
1108: Erro na insercao [13]
1109: Erro na insercao [19]
1110: Erro na insercao [41]
1111: Erro na insercao [26]
1112: Erro na insercao [29]
1113: Erro na insercao [20]
1114: Erro na insercao [20]
1115: Erro na insercao [11]
1116: Erro na insercao [30]
1117: Erro na insercao [21]
1118: Erro na insercao [79]
1119: Erro na insercao [61]
1120: Erro na insercao [25]
1121: Erro na insercao [16]
1122: Erro na insercao [25]
1123: Erro na insercao [15]
1124: Erro na insercao [22]
1125: Erro na insercao [22]
1126: Erro na insercao [17]
1127: Erro na insercao [14]
1128: Erro na insercao [84]
1129: Erro na insercao [10]
1130: Erro na insercao [29]
1131: Erro na insercao [23]
1132: Erro na insercao [31]
1133: Erro na insercao [15]
1134: Erro na insercao [18]
1135: Erro na insercao [32]
1136: Erro na insercao [15]
1137: Erro na insercao [20]
1138: Erro na insercao [98]
1139: Erro na insercao [54]
1140: Erro na insercao [26]
1141: Erro na insercao [20]
1142: Erro na insercao [11]
1143: Erro na insercao [27]
1144: Erro na insercao [11]
1145: Erro na insercao [19]
1146: Erro na insercao [18]
1147: Erro na insercao [18]
1148: Erro na insercao [28]
1149: Erro na insercao [11]
1150: Erro na insercao [84]
1151: Erro na insercao [20]
1152: Erro na insercao [88]
1153: Erro na insercao [29]
1154: Erro na insercao [12]
1155: Erro na insercao [17]
1156: Erro na insercao [10]
1157: Erro na insercao [15]
1158: Erro na insercao [29]
1159: Erro na insercao [83]
1160: Erro na insercao [60]
1161: Erro na insercao [16]
1162: Erro na insercao [10]
1163: Erro na insercao [20]
1164: Erro na insercao [26]
1165: Erro na insercao [57]
1166: Erro na insercao [57]
1167: Erro na insercao [13]
1168: Erro na insercao [99]
1169: Erro na insercao [24]
1170: Erro na insercao [13]
1171: Erro na insercao [26]
1172: Erro na insercao [37]
1173: Erro na insercao [31]
1174: Erro na insercao [85]
1175: Erro na insercao [12]
1176: Erro na insercao [17]
1177: Erro na insercao [13]
1178: Erro na insercao [16]
1179: Erro na insercao [60]
1180: Erro na insercao [80]
1181: Erro na insercao [28]
1182: Erro na insercao [76]
1183: Erro na insercao [24]
1184: Erro na insercao [30]
1185: Erro na insercao [24]
1186: Erro na insercao [11]
1187: Erro na insercao [24]
1188: Erro na insercao [62]
1189: Erro na insercao [11]
1190: Erro na insercao [71]
1191: Erro na insercao [15]
1192: Erro na insercao [13]
1193: Erro na insercao [58]
1194: Erro na insercao [77]
1195: Erro na insercao [28]
1196: Erro na insercao [27]
1197: Erro na insercao [74]
1198: Erro na insercao [34]
1199: Erro na insercao [21]
1200: Erro na insercao [25]
1201: Erro na insercao [11]
1202: Erro na insercao [38]
1203: Erro na insercao [31]
1204: Erro na insercao [26]
1205: Erro na insercao [15]
1206: Erro na insercao [92]
1207: Erro na insercao [44]
1208: Erro na insercao [31]
1209: Erro na insercao [28]
1210: Erro na insercao [10]
1211: Erro na insercao [12]
1212: Erro na insercao [14]
1213: Erro na insercao [34]
1214: Erro na insercao [15]
1215: Erro na insercao [63]
1216: Erro na insercao [18]
1217: Erro na insercao [30]
1218: Erro na insercao [13]
1219: Erro na insercao [20]
1220: Erro na insercao [15]
1221: Erro na insercao [35]
1222: Erro na insercao [22]
1223: Erro na insercao [18]
1224: Erro na insercao [19]
1225: Erro na insercao [11]
1226: Erro na insercao [82]
1227: Erro na insercao [27]
1228: Erro na insercao [49]
1229: Erro na insercao [87]
1230: Erro na insercao [31]
1231: Erro na insercao [70]
1232: Erro na insercao [13]
1233: Erro na insercao [30]
1234: Erro na insercao [20]
1235: Erro na insercao [26]
1236: Erro na insercao [29]
1237: Erro na insercao [14]
1238: Erro na insercao [11]
1239: Erro na insercao [10]
1240: Erro na insercao [15]
1241: Erro na insercao [18]
1242: Erro na insercao [10]
1243: Erro na insercao [27]
1244: Erro na insercao [92]
1245: Erro na insercao [15]
1246: Erro na insercao [26]
1247: Erro na insercao [21]
1248: Erro na insercao [15]
1249: Erro na insercao [24]
1250: Erro na insercao [28]
1251: Erro na insercao [63]
1252: Erro na insercao [30]
1253: Erro na insercao [21]
1254: Erro na insercao [31]
1255: Erro na insercao [17]
1256: Erro na insercao [30]
1257: Erro na insercao [89]
1258: Erro na insercao [16]
1259: Erro na insercao [15]
1260: Erro na insercao [11]
1261: Erro na insercao [14]
1262: Erro na insercao [29]
1263: Erro na insercao [18]
1264: Erro na insercao [75]
1265: Erro na insercao [21]
1266: Erro na insercao [31]
1267: Erro na insercao [83]
1268: Erro na insercao [25]
1269: Erro na insercao [23]
1270: Erro na insercao [29]
1271: Erro na insercao [22]
1272: Erro na insercao [16]
1273: Erro na insercao [86]
1274: Erro na insercao [14]
1275: Erro na insercao [75]
1276: Erro na insercao [36]
1277: Erro na insercao [27]
1278: Erro na insercao [17]
1279: Erro na insercao [31]
1280: Erro na insercao [12]
1281: Erro na insercao [19]
1282: Erro na insercao [14]
1283: Erro na insercao [11]
1284: Erro na insercao [24]
1285: Erro na insercao [26]
1286: Inserido com sucesso [91]
1287: Erro na insercao [27]
1288: Erro na insercao [32]
1289: Erro na insercao [19]
1290: Erro na insercao [19]
1291: Erro na insercao [48]
1292: Erro na insercao [17]
1293: Erro na insercao [11]
1294: Erro na insercao [19]
1295: Erro na insercao [14]
1296: Erro na insercao [26]
1297: Erro na insercao [18]
1298: Erro na insercao [18]
1299: Erro na insercao [25]
1300: Erro na insercao [15]
1301: Erro na insercao [31]
1302: Erro na insercao [29]
1303: Erro na insercao [15]
1304: Erro na insercao [13]
1305: Erro na insercao [24]
1306: Erro na insercao [10]
1307: Erro na insercao [22]
1308: Erro na insercao [25]
1309: Erro na insercao [19]
1310: Erro na insercao [14]
1311: Erro na insercao [19]
1312: Erro na insercao [19]
1313: Erro na insercao [18]
1314: Erro na insercao [11]
1315: Erro na insercao [58]
1316: Erro na insercao [21]
1317: Erro na insercao [25]
1318: Erro na insercao [95]
1319: Erro na insercao [16]
1320: Erro na insercao [32]
1321: Erro na insercao [69]
1322: Erro na insercao [20]
1323: Erro na insercao [26]
1324: Erro na insercao [84]
1325: Erro na insercao [61]
1326: Erro na insercao [52]
1327: Erro na insercao [17]
1328: Erro na insercao [38]
1329: Erro na insercao [70]
1330: Erro na insercao [16]
1331: Erro na insercao [14]
1332: Erro na insercao [13]
1333: Erro na insercao [26]
1334: Erro na insercao [23]
1335: Erro na insercao [12]
1336: Erro na insercao [53]
1337: Erro na insercao [22]
1338: Erro na insercao [31]
1339: Erro na insercao [30]
1340: Erro na insercao [19]
1341: Erro na insercao [21]
1342: Erro na insercao [29]
1343: Erro na insercao [25]
1344: Erro na insercao [29]
1345: Erro na insercao [23]
1346: Erro na insercao [13]
1347: Erro na insercao [56]
1348: Erro na insercao [29]
1349: Erro na insercao [21]
1350: Erro na insercao [62]
1351: Erro na insercao [31]
1352: Erro na insercao [18]
1353: Erro na insercao [26]
1354: Erro na insercao [96]
1355: Erro na insercao [29]
1356: Erro na insercao [21]
1357: Erro na insercao [18]
1358: Erro na insercao [13]
1359: Erro na insercao [12]
1360: Erro na insercao [23]
1361: Erro na insercao [23]
1362: Erro na insercao [68]
1363: Erro na insercao [17]
1364: Erro na insercao [18]
1365: Erro na insercao [26]
1366: Erro na insercao [11]
1367: Erro na insercao [21]
1368: Erro na insercao [39]
1369: Erro na insercao [84]
1370: Erro na insercao [20]
1371: Erro na insercao [26]
1372: Erro na insercao [14]
1373: Erro na insercao [12]
1374: Erro na insercao [21]
1375: Erro na insercao [14]
1376: Erro na insercao [18]
1377: Erro na insercao [10]
1378: Erro na insercao [25]
1379: Erro na insercao [19]
1380: Erro na insercao [40]
1381: Erro na insercao [24]
1382: Erro na insercao [21]
1383: Erro na insercao [82]
1384: Erro na insercao [29]
1385: Erro na insercao [19]
1386: Erro na insercao [21]
1387: Erro na insercao [97]
1388: Erro na insercao [95]
1389: Erro na insercao [20]
1390: Erro na insercao [11]
1391: Erro na insercao [15]
1392: Erro na insercao [21]
1393: Erro na insercao [20]
1394: Erro na insercao [23]
1395: Erro na insercao [27]
1396: Erro na insercao [14]
1397: Erro na insercao [30]
1398: Erro na insercao [72]
1399: Erro na insercao [16]
1400: Erro na insercao [65]
1401: Erro na insercao [14]
1402: Erro na insercao [28]
1403: Erro na insercao [27]
1404: Erro na insercao [21]
1405: Erro na insercao [22]
1406: Erro na insercao [15]
1407: Erro na insercao [17]
1408: Erro na insercao [13]
1409: Erro na insercao [22]
1410: Erro na insercao [96]
1411: Erro na insercao [12]
1412: Erro na insercao [19]
1413: Erro na insercao [25]
1414: Erro na insercao [29]
1415: Erro na insercao [26]
1416: Erro na insercao [19]
1417: Erro na insercao [95]
1418: Erro na insercao [12]
1419: Erro na insercao [14]
1420: Erro na insercao [88]
1421: Erro na insercao [32]
1422: Erro na insercao [29]
1423: Erro na insercao [37]
1424: Erro na insercao [14]
1425: Erro na insercao [16]
1426: Erro na insercao [17]
1427: Erro na insercao [22]
1428: Erro na insercao [31]
1429: Erro na insercao [22]
1430: Erro na insercao [80]
1431: Erro na insercao [25]
1432: Erro na insercao [26]
1433: Erro na insercao [22]
1434: Erro na insercao [24]
1435: Erro na insercao [11]
1436: Erro na insercao [19]
1437: Erro na insercao [29]
1438: Erro na insercao [29]
1439: Erro na insercao [63]
1440: Erro na insercao [20]
1441: Erro na insercao [40]
1442: Erro na insercao [49]
1443: Erro na insercao [63]
1444: Erro na insercao [96]
1445: Erro na insercao [13]
1446: Erro na insercao [18]
1447: Erro na insercao [21]
1448: Erro na insercao [27]
1449: Erro na insercao [22]
1450: Erro na insercao [18]
1451: Erro na insercao [86]
1452: Erro na insercao [59]
1453: Erro na insercao [26]
1454: Erro na insercao [20]
1455: Erro na insercao [64]
1456: Erro na insercao [29]
1457: Erro na insercao [15]
1458: Erro na insercao [20]
1459: Erro na insercao [27]
1460: Erro na insercao [19]
1461: Erro na insercao [44]
1462: Erro na insercao [28]
1463: Erro na insercao [18]
1464: Erro na insercao [27]
1465: Erro na insercao [30]
1466: Erro na insercao [40]
1467: Erro na insercao [10]
1468: Erro na insercao [56]
1469: Erro na insercao [32]
1470: Erro na insercao [15]
1471: Erro na insercao [10]
1472: Erro na insercao [28]
1473: Erro na insercao [16]
1474: Erro na insercao [36]
1475: Erro na insercao [10]
1476: Erro na insercao [20]
1477: Erro na insercao [93]
1478: Erro na insercao [28]
1479: Erro na insercao [72]
1480: Erro na insercao [86]
1481: Erro na insercao [20]
1482: Erro na insercao [26]
1483: Erro na insercao [53]
1484: Erro na insercao [37]
1485: Erro na insercao [24]
1486: Erro na insercao [18]
1487: Erro na insercao [23]
1488: Erro na insercao [48]
1489: Erro na insercao [24]
1490: Erro na insercao [16]
1491: Erro na insercao [20]
1492: Erro na insercao [10]
1493: Erro na insercao [24]
1494: Erro na insercao [89]
1495: Erro na insercao [22]
1496: Erro na insercao [23]
1497: Erro na insercao [20]
1498: Erro na insercao [12]
1499: Erro na insercao [29]
1500: Erro na insercao [10]
1501: Erro na insercao [97]
1502: Erro na insercao [21]
1503: Erro na insercao [51]
1504: Erro na insercao [46]
1505: Erro na insercao [31]
1506: Erro na insercao [13]
1507: Erro na insercao [30]
1508: Erro na insercao [40]
1509: Erro na insercao [25]
1510: Erro na insercao [16]
1511: Erro na insercao [17]
1512: Erro na insercao [15]
1513: Erro na insercao [66]
1514: Erro na insercao [94]
1515: Erro na insercao [24]
1516: Erro na insercao [21]
1517: Erro na insercao [29]
1518: Erro na insercao [89]
1519: Erro na insercao [19]
1520: Erro na insercao [21]
1521: Erro na insercao [12]
1522: Erro na insercao [59]
1523: Erro na insercao [26]
1524: Erro na insercao [20]
1525: Erro na insercao [18]
1526: Erro na insercao [51]
1527: Erro na insercao [26]
1528: Erro na insercao [10]
1529: Erro na insercao [23]
1530: Erro na insercao [23]
1531: Erro na insercao [24]
1532: Erro na insercao [12]
1533: Erro na insercao [23]
1534: Erro na insercao [22]
1535: Erro na insercao [55]
1536: Erro na insercao [67]
1537: Erro na insercao [25]
1538: Erro na insercao [27]
1539: Erro na insercao [15]
1540: Erro na insercao [23]
1541: Erro na insercao [89]
1542: Erro na insercao [20]
1543: Erro na insercao [16]
1544: Erro na insercao [27]
1545: Erro na insercao [15]
1546: Erro na insercao [19]
1547: Erro na insercao [13]
1548: Erro na insercao [30]
1549: Erro na insercao [30]
1550: Erro na insercao [27]
1551: Erro na insercao [40]
1552: Erro na insercao [32]
1553: Erro na insercao [47]
1554: Erro na insercao [46]
1555: Erro na insercao [22]
1556: Erro na insercao [15]
1557: Erro na insercao [21]
1558: Erro na insercao [63]
1559: Erro na insercao [71]
1560: Erro na insercao [26]
1561: Erro na insercao [22]
1562: Erro na insercao [17]
1563: Erro na insercao [13]
1564: Erro na insercao [32]
1565: Erro na insercao [21]
1566: Erro na insercao [13]
1567: Erro na insercao [58]
1568: Erro na insercao [30]
1569: Erro na insercao [27]
1570: Erro na insercao [19]
1571: Erro na insercao [21]
1572: Erro na insercao [46]
1573: Erro na insercao [15]
1574: Erro na insercao [30]
1575: Erro na insercao [25]
1576: Erro na insercao [25]
1577: Erro na insercao [20]
1578: Erro na insercao [28]
1579: Erro na insercao [29]
1580: Erro na insercao [15]
1581: Erro na insercao [31]
1582: Erro na insercao [26]
1583: Erro na insercao [16]
1584: Erro na insercao [18]
1585: Erro na insercao [32]
1586: Erro na insercao [12]
1587: Erro na insercao [23]
1588: Erro na insercao [90]
1589: Erro na insercao [97]
1590: Erro na insercao [18]
1591: Erro na insercao [20]
1592: Erro na insercao [28]
1593: Erro na insercao [15]
1594: Erro na insercao [21]
1595: Erro na insercao [15]
1596: Erro na insercao [16]
1597: Erro na insercao [31]
1598: Erro na insercao [42]
1599: Erro na insercao [26]
1600: Erro na insercao [32]
1601: Erro na insercao [39]
1602: Erro na insercao [14]
1603: Erro na insercao [20]
1604: Erro na insercao [19]
1605: Erro na insercao [28]
1606: Erro na insercao [19]
1607: Erro na insercao [53]
1608: Erro na insercao [17]
1609: Erro na insercao [12]
1610: Erro na insercao [22]
1611: Erro na insercao [17]
1612: Erro na insercao [13]
1613: Erro na insercao [21]
1614: Erro na insercao [75]
1615: Erro na insercao [43]
1616: Erro na insercao [17]
1617: Erro na insercao [29]
1618: Erro na insercao [13]
1619: Erro na insercao [81]
1620: Erro na insercao [18]
1621: Erro na insercao [24]
1622: Erro na insercao [73]
1623: Erro na insercao [83]
1624: Erro na insercao [44]
1625: Erro na insercao [16]
1626: Erro na insercao [15]
1627: Erro na insercao [54]
1628: Erro na insercao [25]
1629: Erro na insercao [23]
1630: Erro na insercao [21]
1631: Erro na insercao [39]
1632: Erro na insercao [21]
1633: Erro na insercao [31]
1634: Erro na insercao [20]
1635: Erro na insercao [23]
1636: Erro na insercao [26]
1637: Erro na insercao [31]
1638: Erro na insercao [11]
1639: Erro na insercao [72]
1640: Erro na insercao [87]
1641: Erro na insercao [30]
1642: Erro na insercao [78]
1643: Erro na insercao [21]
1644: Erro na insercao [11]
1645: Erro na insercao [49]
1646: Erro na insercao [22]
1647: Erro na insercao [26]
1648: Erro na insercao [16]
1649: Erro na insercao [27]
1650: Erro na insercao [68]
1651: Erro na insercao [48]
1652: Erro na insercao [85]
1653: Erro na insercao [15]
1654: Erro na insercao [19]
1655: Erro na insercao [28]
1656: Erro na insercao [24]
1657: Erro na insercao [24]
1658: Erro na insercao [29]
1659: Erro na insercao [27]
1660: Erro na insercao [41]
1661: Erro na insercao [27]
1662: Erro na insercao [10]
1663: Erro na insercao [25]
1664: Erro na insercao [22]
1665: Erro na insercao [52]
1666: Erro na insercao [30]
1667: Erro na insercao [54]
1668: Erro na insercao [80]
1669: Erro na insercao [50]
1670: Erro na insercao [10]
1671: Erro na insercao [13]
1672: Erro na insercao [20]
1673: Erro na insercao [32]
1674: Erro na insercao [34]
1675: Erro na insercao [29]
1676: Erro na insercao [11]
1677: Erro na insercao [20]
1678: Erro na insercao [76]
1679: Erro na insercao [31]
1680: Erro na insercao [21]
1681: Erro na insercao [13]
1682: Erro na insercao [95]
1683: Erro na insercao [21]
1684: Erro na insercao [28]
1685: Erro na insercao [30]
1686: Erro na insercao [19]
1687: Erro na insercao [21]
1688: Erro na insercao [38]
1689: Erro na insercao [21]
1690: Erro na insercao [82]
1691: Erro na insercao [20]
1692: Erro na insercao [13]
1693: Erro na insercao [22]
1694: Erro na insercao [29]
1695: Erro na insercao [27]
1696: Erro na insercao [12]
1697: Erro na insercao [20]
1698: Erro na insercao [17]
1699: Erro na insercao [15]
1700: Erro na insercao [28]
1701: Erro na insercao [21]
1702: Erro na insercao [77]
1703: Erro na insercao [24]
1704: Erro na insercao [24]
1705: Erro na insercao [24]
1706: Erro na insercao [13]
1707: Erro na insercao [56]
1708: Erro na insercao [23]
1709: Erro na insercao [17]
1710: Erro na insercao [13]
1711: Erro na insercao [12]
1712: Erro na insercao [12]
1713: Erro na insercao [20]
1714: Erro na insercao [21]
1715: Erro na insercao [32]
1716: Erro na insercao [10]
1717: Erro na insercao [56]
1718: Erro na insercao [23]
1719: Erro na insercao [12]
1720: Erro na insercao [50]
1721: Erro na insercao [62]
1722: Erro na insercao [14]
1723: Erro na insercao [70]
1724: Erro na insercao [32]
1725: Erro na insercao [15]
1726: Erro na insercao [23]
1727: Erro na insercao [31]
1728: Erro na insercao [16]
1729: Erro na insercao [16]
1730: Erro na insercao [85]
1731: Erro na insercao [46]
1732: Erro na insercao [21]
1733: Erro na insercao [86]
1734: Erro na insercao [85]
1735: Erro na insercao [22]
1736: Erro na insercao [93]
1737: Erro na insercao [29]
1738: Erro na insercao [26]
1739: Erro na insercao [28]
1740: Erro na insercao [14]
1741: Erro na insercao [74]
1742: Erro na insercao [10]
1743: Erro na insercao [14]
1744: Erro na insercao [24]
1745: Erro na insercao [28]
1746: Erro na insercao [25]
1747: Erro na insercao [93]
1748: Erro na insercao [19]
1749: Erro na insercao [22]
1750: Erro na insercao [27]
1751: Erro na insercao [87]
1752: Erro na insercao [85]
1753: Erro na insercao [25]
1754: Erro na insercao [26]
1755: Erro na insercao [25]
1756: Erro na insercao [21]
1757: Erro na insercao [19]
1758: Erro na insercao [18]
1759: Erro na insercao [65]
1760: Erro na insercao [11]
1761: Erro na insercao [25]
1762: Erro na insercao [10]
1763: Erro na insercao [83]
1764: Erro na insercao [23]
1765: Erro na insercao [72]
1766: Erro na insercao [27]
1767: Erro na insercao [67]
1768: Erro na insercao [13]
1769: Erro na insercao [22]
1770: Erro na insercao [12]
1771: Erro na insercao [31]
1772: Erro na insercao [66]
1773: Erro na insercao [83]
1774: Erro na insercao [16]
1775: Erro na insercao [82]
1776: Erro na insercao [25]
1777: Erro na insercao [28]
1778: Erro na insercao [22]
1779: Erro na insercao [11]
1780: Erro na insercao [61]
1781: Erro na insercao [17]
1782: Erro na insercao [13]
1783: Erro na insercao [15]
1784: Erro na insercao [11]
1785: Erro na insercao [12]
1786: Erro na insercao [80]
1787: Erro na insercao [31]
1788: Erro na insercao [26]
1789: Erro na insercao [30]
1790: Erro na insercao [26]
1791: Erro na insercao [65]
1792: Erro na insercao [22]
1793: Erro na insercao [23]
1794: Erro na insercao [14]
1795: Erro na insercao [11]
1796: Erro na insercao [10]
1797: Erro na insercao [97]
1798: Erro na insercao [29]
1799: Erro na insercao [26]
1800: Erro na insercao [26]
1801: Erro na insercao [24]
1802: Erro na insercao [25]
1803: Erro na insercao [26]
1804: Erro na insercao [13]
1805: Erro na insercao [87]
1806: Erro na insercao [32]
1807: Erro na insercao [15]
1808: Erro na insercao [32]
1809: Erro na insercao [18]
1810: Erro na insercao [27]
1811: Erro na insercao [15]
1812: Erro na insercao [10]
1813: Erro na insercao [55]
1814: Erro na insercao [12]
1815: Erro na insercao [31]
1816: Erro na insercao [26]
1817: Erro na insercao [15]
1818: Erro na insercao [42]
1819: Erro na insercao [32]
1820: Erro na insercao [77]
1821: Erro na insercao [29]
1822: Erro na insercao [67]
1823: Erro na insercao [18]
1824: Erro na insercao [26]
1825: Erro na insercao [22]
1826: Erro na insercao [29]
1827: Erro na insercao [15]
1828: Erro na insercao [39]
1829: Erro na insercao [24]
1830: Erro na insercao [12]
1831: Erro na insercao [15]
1832: Erro na insercao [18]
1833: Erro na insercao [10]
1834: Erro na insercao [40]
1835: Erro na insercao [12]
1836: Erro na insercao [21]
1837: Erro na insercao [13]
1838: Erro na insercao [12]
1839: Erro na insercao [20]
1840: Erro na insercao [14]
1841: Erro na insercao [83]
1842: Erro na insercao [95]
1843: Erro na insercao [15]
1844: Erro na insercao [19]
1845: Erro na insercao [20]
1846: Erro na insercao [53]
1847: Erro na insercao [23]
1848: Erro na insercao [17]
1849: Erro na insercao [31]
1850: Erro na insercao [10]
1851: Erro na insercao [15]
1852: Erro na insercao [10]
1853: Erro na insercao [11]
1854: Erro na insercao [29]
1855: Erro na insercao [12]
1856: Erro na insercao [15]
1857: Erro na insercao [15]
1858: Erro na insercao [14]
1859: Erro na insercao [46]
1860: Erro na insercao [22]
1861: Erro na insercao [11]
1862: Erro na insercao [23]
1863: Erro na insercao [21]
1864: Erro na insercao [12]
1865: Erro na insercao [34]
1866: Erro na insercao [80]
1867: Erro na insercao [27]
1868: Erro na insercao [11]
1869: Erro na insercao [96]
1870: Erro na insercao [23]
1871: Erro na insercao [29]
1872: Erro na insercao [21]
1873: Erro na insercao [15]
1874: Erro na insercao [16]
1875: Erro na insercao [19]
1876: Erro na insercao [28]
1877: Erro na insercao [14]
1878: Erro na insercao [23]
1879: Erro na insercao [19]
1880: Erro na insercao [31]
1881: Erro na insercao [11]
1882: Erro na insercao [69]
1883: Erro na insercao [19]
1884: Erro na insercao [28]
1885: Erro na insercao [23]
1886: Erro na insercao [86]
1887: Erro na insercao [87]
1888: Erro na insercao [32]
1889: Erro na insercao [13]
1890: Erro na insercao [10]
1891: Erro na insercao [14]
1892: Erro na insercao [25]
1893: Erro na insercao [12]
1894: Erro na insercao [19]
1895: Erro na insercao [11]
1896: Erro na insercao [12]
1897: Erro na insercao [97]
1898: Erro na insercao [20]
1899: Erro na insercao [26]
1900: Erro na insercao [39]
1901: Erro na insercao [28]
1902: Erro na insercao [17]
1903: Erro na insercao [24]
1904: Erro na insercao [21]
1905: Erro na insercao [11]
1906: Erro na insercao [15]
1907: Erro na insercao [22]
1908: Erro na insercao [95]
1909: Erro na insercao [20]
1910: Erro na insercao [15]
1911: Erro na insercao [88]
1912: Erro na insercao [31]
1913: Erro na insercao [17]
1914: Erro na insercao [21]
1915: Erro na insercao [15]
1916: Erro na insercao [86]
1917: Erro na insercao [27]
1918: Erro na insercao [14]
1919: Erro na insercao [11]
1920: Erro na insercao [34]
1921: Erro na insercao [11]
1922: Erro na insercao [84]
1923: Erro na insercao [28]
1924: Erro na insercao [17]
1925: Erro na insercao [18]
1926: Erro na insercao [64]
1927: Erro na insercao [24]
1928: Erro na insercao [84]
1929: Erro na insercao [19]
1930: Erro na insercao [16]
1931: Erro na insercao [85]
1932: Erro na insercao [58]
1933: Erro na insercao [13]
1934: Erro na insercao [31]
1935: Erro na insercao [18]
1936: Erro na insercao [31]
1937: Erro na insercao [13]
1938: Erro na insercao [22]
1939: Erro na insercao [48]
1940: Erro na insercao [27]
1941: Erro na insercao [21]
1942: Erro na insercao [11]
1943: Erro na insercao [29]
1944: Erro na insercao [32]
1945: Erro na insercao [34]
1946: Erro na insercao [12]
1947: Erro na insercao [32]
1948: Erro na insercao [10]
1949: Erro na insercao [51]
1950: Erro na insercao [77]
1951: Erro na insercao [22]
1952: Erro na insercao [39]
1953: Erro na insercao [18]
1954: Erro na insercao [17]
1955: Erro na insercao [17]
1956: Erro na insercao [24]
1957: Erro na insercao [69]
1958: Erro na insercao [71]
1959: Erro na insercao [25]
1960: Erro na insercao [45]
1961: Erro na insercao [70]
1962: Erro na insercao [27]
1963: Erro na insercao [20]
1964: Erro na insercao [10]
1965: Erro na insercao [13]
1966: Erro na insercao [16]
1967: Erro na insercao [62]
1968: Erro na insercao [20]
1969: Erro na insercao [25]
1970: Erro na insercao [62]
1971: Erro na insercao [12]
1972: Erro na insercao [32]
1973: Erro na insercao [18]
1974: Erro na insercao [26]
1975: Erro na insercao [17]
1976: Erro na insercao [29]
1977: Erro na insercao [22]
1978: Erro na insercao [73]
1979: Erro na insercao [26]
1980: Erro na insercao [12]
1981: Erro na insercao [17]
1982: Erro na insercao [49]
1983: Erro na insercao [30]
1984: Erro na insercao [26]
1985: Erro na insercao [30]
1986: Erro na insercao [28]
1987: Erro na insercao [30]
1988: Erro na insercao [19]
1989: Erro na insercao [14]
1990: Erro na insercao [27]
1991: Erro na insercao [30]
1992: Erro na insercao [22]
1993: Erro na insercao [27]
1994: Erro na insercao [73]
1995: Erro na insercao [31]
1996: Erro na insercao [33]
1997: Erro na insercao [24]
1998: Erro na insercao [81]
1999: Erro na insercao [10]

Impressao dos elementos em ordem: 6 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 

Impressao dos elementos em pre-ordem: 60 38 17 13 11 10 6 12 16 15 14 25 23 19 18 20 22 21 24 32 26 29 27 28 30 31 36 34 33 35 37 43 42 40 39 41 52 48 47 45 44 46 51 49 50 54 53 57 56 55 58 59 62 61 90 84 68 67 64 63 66 65 79 70 69 77 76 71 73 72 74 75 78 81 80 82 83 87 85 86 89 88 97 92 91 94 93 95 96 99 98 

Impressao dos elementos em pos-ordem: 6 10 12 11 14 15 16 13 18 21 22 20 19 24 23 28 27 31 30 29 26 33 35 34 37 36 32 25 17 39 41 40 42 44 46 45 47 50 49 51 48 53 55 56 59 58 57 54 52 43 38 61 63 65 66 64 67 69 72 75 74 73 71 76 78 77 70 80 83 82 81 79 68 86 85 88 89 87 84 91 93 96 95 94 92 98 99 97 90 62 60 

Número de buscas: 100
Buscado com sucesso [54]
Buscado com sucesso [32]
Buscado com sucesso [14]
Buscado com sucesso [24]
Buscado com sucesso [23]
Buscado com sucesso [29]
Buscado com sucesso [24]
Buscado com sucesso [28]
Buscado com sucesso [36]
Buscado com sucesso [17]
Buscado com sucesso [19]
Buscado com sucesso [16]
Buscado com sucesso [95]
